date,sales
2021-01-01,316
2021-01-02,298
2021-01-03,323
2021-01-04,350
2021-01-05,299
2021-01-06,300
2021-01-07,356
2021-01-08,332
2021-01-09,297
2021-01-10,328
2021-01-11,299
2021-01-12,300
2021-01-13,323
2021-01-14,259
2021-01-15,266
2021-01-16,302
2021-01-17,290
2021-01-18,331
2021-01-19,295
2021-01-20,281
2021-01-21,369
2021-01-22,319
2021-01-23,329
2021-01-24,286
2021-01-25,313
2021-01-26,334
2021-01-27,297
2021-01-28,344
2021-01-29,316
2021-01-30,327
2021-01-31,318
2021-02-01,393
2021-02-02,338
2021-02-03,308
2021-02-04,365
2021-02-05,305
2021-02-06,349
2021-02-07,285
2021-02-08,305
2021-02-09,352
2021-02-10,369
2021-02-11,353
2021-02-12,346
2021-02-13,341
2021-02-14,307
2021-02-15,330
2021-02-16,339
2021-02-17,386
2021-02-18,365
2021-02-19,303
2021-02-20,366
2021-02-21,346
2021-02-22,338
2021-02-23,378
2021-02-24,391
2021-02-25,389
2021-02-26,337
2021-02-27,354
2021-02-28,374
2021-03-01,394
2021-03-02,351
2021-03-03,361
2021-03-04,334
2021-03-05,332
2021-03-06,393
2021-03-07,410
2021-03-08,368
2021-03-09,401
2021-03-10,382
2021-03-11,353
2021-03-12,383
2021-03-13,419
2021-03-14,373
2021-03-15,421
2021-03-16,297
2021-03-17,400
2021-03-18,379
2021-03-19,368
2021-03-20,380
2021-03-21,318
2021-03-22,372
2021-03-23,390
2021-03-24,424
2021-03-25,364
2021-03-26,356
2021-03-27,366
2021-03-28,409
2021-03-29,392
2021-03-30,366
2021-03-31,398
2021-04-01,386
2021-04-02,412
2021-04-03,363
2021-04-04,374
2021-04-05,373
2021-04-06,341
2021-04-07,394
2021-04-08,393
2021-04-09,386
2021-04-10,379
2021-04-11,343
2021-04-12,373
2021-04-13,376
2021-04-14,362
2021-04-15,382
2021-04-16,399
2021-04-17,444
2021-04-18,392
2021-04-19,395
2021-04-20,385
2021-04-21,330
2021-04-22,387
2021-04-23,389
2021-04-24,461
2021-04-25,382
2021-04-26,397
2021-04-27,387
2021-04-28,353
2021-04-29,422
2021-04-30,410
2021-05-01,411
2021-05-02,360
2021-05-03,429
2021-05-04,345
2021-05-05,405
2021-05-06,453
2021-05-07,357
2021-05-08,370
2021-05-09,390
2021-05-10,371
2021-05-11,340
2021-05-12,388
2021-05-13,354
2021-05-14,400
2021-05-15,358
2021-05-16,432
2021-05-17,362
2021-05-18,375
2021-05-19,409
2021-05-20,347
2021-05-21,391
2021-05-22,423
2021-05-23,335
2021-05-24,389
2021-05-25,391
2021-05-26,406
2021-05-27,345
2021-05-28,342
2021-05-29,397
2021-05-30,390
2021-05-31,388
2021-06-01,391
2021-06-02,360
2021-06-03,387
2021-06-04,388
2021-06-05,357
2021-06-06,434
2021-06-07,392
2021-06-08,342
2021-06-09,397
2021-06-10,347
2021-06-11,400
2021-06-12,411
2021-06-13,351
2021-06-14,404
2021-06-15,387
2021-06-16,399
2021-06-17,430
2021-06-18,366
2021-06-19,350
2021-06-20,345
2021-06-21,347
2021-06-22,369
2021-06-23,381
2021-06-24,378
2021-06-25,394
2021-06-26,370
2021-06-27,412
2021-06-28,360
2021-06-29,449
2021-06-30,386
2021-07-01,341
2021-07-02,334
2021-07-03,380
2021-07-04,359
2021-07-05,386
2021-07-06,378
2021-07-07,362
2021-07-08,338
2021-07-09,317
2021-07-10,349
2021-07-11,387
2021-07-12,368
2021-07-13,323
2021-07-14,366
2021-07-15,371
2021-07-16,333
2021-07-17,364
2021-07-18,360
2021-07-19,324
2021-07-20,368
2021-07-21,374
2021-07-22,389
2021-07-23,388
2021-07-24,314
2021-07-25,327
2021-07-26,370
2021-07-27,370
2021-07-28,370
2021-07-29,469
2021-07-30,370
2021-07-31,387
2021-08-01,381
2021-08-02,372
2021-08-03,342
2021-08-04,374
2021-08-05,328
2021-08-06,344
2021-08-07,336
2021-08-08,353
2021-08-09,419
2021-08-10,293
2021-08-11,370
2021-08-12,300
2021-08-13,334
2021-08-14,381
2021-08-15,350
2021-08-16,315
2021-08-17,326
2021-08-18,368
2021-08-19,325
2021-08-20,353
2021-08-21,348
2021-08-22,327
2021-08-23,411
2021-08-24,365
2021-08-25,285
2021-08-26,352
2021-08-27,326
2021-08-28,371
2021-08-29,322
2021-08-30,342
2021-08-31,361
2021-09-01,371
2021-09-02,309
2021-09-03,335
2021-09-04,331
2021-09-05,326
2021-09-06,398
2021-09-07,357
2021-09-08,307
2021-09-09,373
2021-09-10,409
2021-09-11,376
2021-09-12,300
2021-09-13,331
2021-09-14,384
2021-09-15,325
2021-09-16,359
2021-09-17,369
2021-09-18,318
2021-09-19,345
2021-09-20,249
2021-09-21,316
2021-09-22,340
2021-09-23,310
2021-09-24,397
2021-09-25,305
2021-09-26,335
2021-09-27,352
2021-09-28,392
2021-09-29,306
2021-09-30,384
2021-10-01,350
2021-10-02,321
2021-10-03,364
2021-10-04,357
2021-10-05,333
2021-10-06,354
2021-10-07,341
2021-10-08,356
2021-10-09,373
2021-10-10,401
2021-10-11,317
2021-10-12,419
2021-10-13,297
2021-10-14,351
2021-10-15,374
2021-10-16,365
2021-10-17,339
2021-10-18,352
2021-10-19,344
2021-10-20,342
2021-10-21,386
2021-10-22,371
2021-10-23,341
2021-10-24,389
2021-10-25,372
2021-10-26,388
2021-10-27,383
2021-10-28,340
2021-10-29,349
2021-10-30,389
2021-10-31,386
2021-11-01,367
2021-11-02,372
2021-11-03,408
2021-11-04,353
2021-11-05,388
2021-11-06,366
2021-11-07,367
2021-11-08,407
2021-11-09,400
2021-11-10,400
2021-11-11,416
2021-11-12,378
2021-11-13,399
2021-11-14,370
2021-11-15,390
2021-11-16,378
2021-11-17,385
2021-11-18,401
2021-11-19,360
2021-11-20,448
2021-11-21,356
2021-11-22,351
2021-11-23,423
2021-11-24,413
2021-11-25,409
2021-11-26,411
2021-11-27,393
2021-11-28,367
2021-11-29,397
2021-11-30,376
2021-12-01,427
2021-12-02,394
2021-12-03,375
2021-12-04,391
2021-12-05,414
2021-12-06,386
2021-12-07,379
2021-12-08,413
2021-12-09,414
2021-12-10,392
2021-12-11,395
2021-12-12,417
2021-12-13,368
2021-12-14,370
2021-12-15,392
2021-12-16,408
2021-12-17,425
2021-12-18,461
2021-12-19,444
2021-12-20,415
2021-12-21,420
2021-12-22,392
2021-12-23,423
2021-12-24,416
2021-12-25,435
2021-12-26,402
2021-12-27,444
2021-12-28,475
2021-12-29,427
2021-12-30,444
2021-12-31,454
2022-01-01,422
2022-01-02,442
2022-01-03,437
2022-01-04,441
2022-01-05,416
2022-01-06,441
2022-01-07,457
2022-01-08,486
2022-01-09,473
2022-01-10,510
2022-01-11,423
2022-01-12,474
2022-01-13,454
2022-01-14,516
2022-01-15,427
2022-01-16,427
2022-01-17,436
2022-01-18,391
2022-01-19,440
2022-01-20,434
2022-01-21,463
2022-01-22,470
2022-01-23,517
2022-01-24,490
2022-01-25,446
2022-01-26,437
2022-01-27,480
2022-01-28,427
2022-01-29,523
2022-01-30,504
2022-01-31,456
2022-02-01,420
2022-02-02,513
2022-02-03,470
2022-02-04,511
2022-02-05,427
2022-02-06,458
2022-02-07,478
2022-02-08,480
2022-02-09,466
2022-02-10,499
2022-02-11,449
2022-02-12,478
2022-02-13,487
2022-02-14,500
2022-02-15,507
2022-02-16,453
2022-02-17,441
2022-02-18,527
2022-02-19,499
2022-02-20,468
2022-02-21,538
2022-02-22,495
2022-02-23,528
2022-02-24,496
2022-02-25,556
2022-02-26,548
2022-02-27,489
2022-02-28,526
2022-03-01,517
2022-03-02,540
2022-03-03,471
2022-03-04,521
2022-03-05,533
2022-03-06,449
2022-03-07,467
2022-03-08,442
2022-03-09,496
2022-03-10,526
2022-03-11,550
2022-03-12,508
2022-03-13,556
2022-03-14,466
2022-03-15,457
2022-03-16,507
2022-03-17,521
2022-03-18,509
2022-03-19,448
2022-03-20,508
2022-03-21,472
2022-03-22,532
2022-03-23,523
2022-03-24,485
2022-03-25,498
2022-03-26,482
2022-03-27,512
2022-03-28,543
2022-03-29,486
2022-03-30,531
2022-03-31,500
2022-04-01,493
2022-04-02,514
2022-04-03,486
2022-04-04,501
2022-04-05,482
2022-04-06,577
2022-04-07,519
2022-04-08,498
2022-04-09,525
2022-04-10,516
2022-04-11,513
2022-04-12,538
2022-04-13,542
2022-04-14,504
2022-04-15,503
2022-04-16,512
2022-04-17,451
2022-04-18,475
2022-04-19,562
2022-04-20,570
2022-04-21,513
2022-04-22,538
2022-04-23,530
2022-04-24,613
2022-04-25,555
2022-04-26,517
2022-04-27,492
2022-04-28,473
2022-04-29,527
2022-04-30,498
2022-05-01,478
2022-05-02,501
2022-05-03,488
2022-05-04,571
2022-05-05,547
2022-05-06,520
2022-05-07,565
2022-05-08,523
2022-05-09,494
2022-05-10,566
2022-05-11,536
2022-05-12,488
2022-05-13,514
2022-05-14,493
2022-05-15,477
2022-05-16,547
2022-05-17,576
2022-05-18,476
2022-05-19,535
2022-05-20,498
2022-05-21,503
2022-05-22,499
2022-05-23,491
2022-05-24,518
2022-05-25,491
2022-05-26,524
2022-05-27,514
2022-05-28,508
2022-05-29,488
2022-05-30,497
2022-05-31,537
2022-06-01,529
2022-06-02,484
2022-06-03,516
2022-06-04,535
2022-06-05,462
2022-06-06,528
2022-06-07,492
2022-06-08,528
2022-06-09,488
2022-06-10,456
2022-06-11,461
2022-06-12,511
2022-06-13,517
2022-06-14,481
2022-06-15,527
2022-06-16,458
2022-06-17,505
2022-06-18,470
2022-06-19,486
2022-06-20,507
2022-06-21,479
2022-06-22,493
2022-06-23,534
2022-06-24,486
2022-06-25,528
2022-06-26,469
2022-06-27,518
2022-06-28,545
2022-06-29,427
2022-06-30,477
2022-07-01,517
2022-07-02,494
2022-07-03,510
2022-07-04,481
2022-07-05,501
2022-07-06,493
2022-07-07,532
2022-07-08,504
2022-07-09,506
2022-07-10,483
2022-07-11,481
2022-07-12,482
2022-07-13,506
2022-07-14,481
2022-07-15,502
2022-07-16,555
2022-07-17,519
2022-07-18,482
2022-07-19,528
2022-07-20,479
2022-07-21,429
2022-07-22,460
2022-07-23,434
2022-07-24,479
